PARTNUMBER,DESCRIPTIONEN,DESCRIPTIONVI,HTS CODE
5-3323-06,"MODULE ASSY,NO PTR,MULTI I/F,PBT7100",C?M L?P RÁP B? PH?N ?I?U KHI?N,8473309000
5-3334,"ASSY,BONNET,MGL8000",C?M L?P RÁP N?P ??Y,8473309000
5-3335,"ASSY,PLATTER,DLC,MGL8000",C?M L?P RÁP N?P ??Y,8473309000
5-3350,"SCANNER,QUICKSCAN D 2110/BLACK 4-14V,I",MÁY ??C MÃ V?CH,8471901000
5-3351,"ASSY,SCANNER,QUICKSCAN D 2130/BLACK,5V,I",MÁY ??C MÃ V?CH,8471901000
5-3352,"ASSY,SCANNER,QUICKSCAN D 2130/WHITE,5V,I",MÁY ??C MÃ V?CH,8471901000
5-3356,"ASSY,PCB,OPTICAL,QUICKSCAN D,5V,I",C?M L?P RÁP B?NG M?CH IN ?I?N T? VÀ KH?I QUANG,8473309000
5-3357,"ASSY,PCB,OPTICAL,QUICKSCAN D,4-14V,I",C?M L?P RÁP B?NG M?CH IN ?I?N T? VÀ KH?I QUANG,8473309000
5-3371-01,"ASSY,TOP ENCLOSURE,Y/B,P7100",C?M L?P RÁP V? MÁY ??C MÃ V?CH ,8473309000
5-3371-02,"ASSY,TOP ENCLOSURE,B/B,P7100",C?M L?P RÁP V? MÁY ??C MÃ V?CH ,8473309000
5-3372-01,"ASSY,HANDLE ENCLOSURE,Y/B,P7100",C?M L?P RÁP TAY C?M,8473309000
5-3372-02,"ASSY,HANDLE ENCLOSURE,B/B,P7100",C?M L?P RÁP TAY C?M,8473309000
5-3373,"ASSY,TRIGGER/SEAL,P7100",C?M L?P RÁP NÚT B?M/ VÒNG ??M,8473309000
5-3376,"ASSY,CONTROL PANEL,GRN/RED,MGL8400",C?M L?P RÁP B?NG KI?M SOÁT,8473309000
5-3377,"ASSY,BONNET,GRN/RED,MGL8400",C?M L?P RÁP N?P ??Y,8473309000
5-3392-01,"ASSY, BEZEL,VERTICAL,W/LOGO,SO",C?M L?P RÁP N?P ??Y,8473309000
5-3393,"ASSY,ULTRASONIC WELD,OPTICAL,QS I",C?M L?P RÁP KH?I QUANG,8473309000
5-3400,"ASSY,PKG,INNER CONTAINER,COBRA 8000",C?M L?P RÁP H?P ?ÓNG GÓI,8473309000
5-3402-01,"ASSY,HORIZ,LLT PLATTER,SHORT,MGL 83/84",C?M L?P RÁP N?P ??Y,8473309000
5-3503,"PACKAGING,BULK,MGL8300/8400",H?P ?ÓNG GÓI (CARTON),4819100000
5-6529-05,"ASSY,SCNR,NO SCALE,NO BONNET,ENHANCED",MÁY ??C MÃ V?CH,8471901000
5-6530,"ASSY, UPPER CHASSIS,MGL8300/8400",C?M L?P RÁP KHUNG ??,8473309000
5-6531,"ASSY,VERTICAL CHASSIS,MGL8300/8400",C?M L?P RÁP KHUNG ??,8473309000
6003-0941,"CBL,AC CORD,120V AC,DOM,STD,1.55M",DÂY CÁP ?I?N,8544119000
068020010,"LAMP,LED,GREEN,T.HOLE,ROHS",?I?T PHÁT SÁNG,8541401000
721105700,"KIT,ROHS,COMMON PACKAGING,QD21X0,I",C?M L?P RÁP H?P ?ÓNG GÓI CHÂN ??,8473309000
721105800,"KIT,ROHS,STAND KIT PACKAGING,QD21X0,I",C?M L?P RÁP H?P ?ÓNG GÓI CHÂN ??,8473309000
8-0730-04,"CBL ASY,ROHS,RS,ICL PC,15'",DÂY CÁP ?I?N,8544119000
8-0769-03,"CBL ASY,ROHS,EAS,INTERLOCK,6'",DÂY CÁP ?I?N,8544119000
8-0858,"POWER ADAPTER,AC/DC REGULATED,8300",B? NGU?N,8504401900
90A052044,"CAB-426E ENHANCED USB TYPE A, 6' STRGHT",DÂY CÁP ?I?N,8544119000
90A051230,CAB-350 RS232 PWR STR. 9PIN  FEM.,DÂY CÁP ?I?N,8544119000
90G001010,CAB-321 STD IBM PS/2,DÂY CÁP ?I?N,8544119000
820026420,"MANUAL,QRG,MGL8300/8400",SÁCH H??NG D?N,4901999000
820027600,"INSERT,WEEE STATEMENT,DATALOGIC,MULTIPLE",SÁCH H??NG D?N,4901999000
820029060,"INSERT,CHINA TBL OF RSTCD ELMNT,SO,83/84",SÁCH H??NG D?N,4901999000
820029480,"INSTR,ADAPTER MOUNT REMOVAL,MGL83/84",SÁCH H??NG D?N,4901999000
820029580,"INSERT,CH,TBL OF REST.ELEMENTS,QS IMAGER",SÁCH H??NG D?N,4901999000
820029830,"MANUAL,QRG,QUICKSCAN IMAGER",SÁCH H??NG D?N,4901999000
STD-QD20-BK,"STAND,BLACK,QUICKSCAN D 90ACC1965",C?M L?P RÁP ?? ??,8473309000
STD-QD20-WH,"STAND,WHITE,QUICKSCAN D 90ACC1964",C?M L?P RÁP ?? ??,8473309000
5-3473-01,"MODULE ASSY,W/POINTER,MULIT I/F,PD7100",C?M L?P RÁP B? PH?N ?I?U KHI?N,8473309000
5-3473-02,"MODULE ASSY,W/POINTER,POS I/F,MLT,PD7100",C?M L?P RÁP B? PH?N ?I?U KHI?N,8473309000
5-3473-03,"MODULE ASSY,W/POINTER,POS I/F,MLT,PD7100",C?M L?P RÁP B? PH?N ?I?U KHI?N,8473309000
5-3473-04,"MODULE ASSY,W/POINTER,MULIT I/F,PD7100",C?M L?P RÁP B? PH?N ?I?U KHI?N,8473309000
5-3473-05,"MODULE ASSY,W/POINTER,MULIT I/F,PD7100",C?M L?P RÁP B? PH?N ?I?U KHI?N,8473309000
5-3473-06,"MODULE ASSY,W/POINTER,MULIT I/F,PD7101",C?M L?P RÁP B? PH?N ?I?U KHI?N,8473309000
019260041,"BAG,AST,POLYEST/POLYETH 5""X 8""",TÚI ?ÓNG GÓI,3923909000
019260022,"BOX,WHITE,5X4X2",H?P ?ÓNG GÓI (CARTON),4819100000
820002170,"INSERT,CH,TBL OF RES ELMTS,QS LASER",GI?Y CH?NG NH?N,4901999000
R44-2956,"MANUAL,QRG,QUICKSCAN L",SÁCH H??NG D?N,4901999000
5-3349,"ASSY,QUICKSCAN D 2330/BLACK,L",MÁY ??C MÃ V?CH,8471901000
010004004,SCREW  3   X10   WN1412 WZ POZI,?C VÍT,7318150000
5-3348,"ASSY,QUICKSCAN D 2330/WHITE,L",MÁY ??C MÃ V?CH,8471901000
721105500,"KIT,ROHS,STAND KIT PACKAGING,QD23X0,L",C?M L?P RÁP H?P ?ÓNG GÓI,8473309000
721104400,"KIT,ROHS,COMMON PACKAGING,QD2X30,L",C?M L?P RÁP H?P ?ÓNG GÓI,8473309000
50-0004-01,"ASSY,QUICKSCAN PB-2300L,INGRAM",MÁY ??C MÃ V?CH,8471901000
199108509,"LM LENS,COLLIMATION,MGL 8300",TH?U KÍNH,9002119000
3-0863-01,"PCBA,VLD DRIVER,MCHND,MGL 8500,ROHS",B?NG M?CH IN ?I?N T?,8473301000
019260042,"BAG,PLASTIC,ZIP LOCK,4X4,2MIL",TÚI ?ÓNG GÓI,3923909000
019260025,"BOX,CDBD,CORR,5X4X3,NAT.KRAFT(M-449)",H?P ?ÓNG GÓI (CARTON),4819100000
010001100,"SCREW,DELTA PT 25 X 8MM TORX,ROUND WAS",?C VÍT,7318150000
8-0730-39,"CBL ASY,ROHS,RS,9D,BEETLE,N/PWR,15'",DÂY CÁP ?I?N,8544119000
6003-0940,"CBL,AC CORD,IEC/EUR,ROHS",DÂY CÁP ?I?N,8544119000
5-3403-01,"ASSY, HORIZ,DLC PLATTER,SHORT,MGL 83/84",C?M L?P RÁP N?P ??Y,8473309000
010001033,"SCR,M3X6MM,PHIL,FLATHEAD,ZN,ROHS",?C VÍT,7318150000
5-3403-03,"ASSY,HORIZ,DLC PLATTER,LONG,MGL83/84",C?M L?P RÁP N?P ??Y,8473309000
199467400,"ADHESIVE,FILLER,PLATTER BEZEL,MGL 8300",KEO,3506100000
199485200,"BOX,MED/LONG,OUTER,MGL8300/8400",H?P ?ÓNG GÓI (CARTON),4819100000
199476100,"BOX,ACCESSORY,MED/LONG,MGL8300",H?P ?ÓNG GÓI,4819100000
90A051978,CAB-446 IBM46XX PORT 9 CABLE,DÂY CÁP ?I?N,8544119000
5-2735,"ASSY,OPTICS BLOCK,MGL2200VS",C?M L?P RÁP KH?I QUANG,8473309000
8-0731-02,"CBL ASY,ROHS,IBM46,SINGLE I/F,PORT9E,15'",DÂY CÁP ?I?N,8544119000
5-3402-03,"ASSY,HORIZ,LLT PLATTER,LONG,MGL 83/84",C?M L?P RÁP N?P ??Y,8473309000
90G001095,CAB-362 SH4132 FOR MAGELLAN COILED 12',DÂY CÁP ?I?N,8544119000
3-1007-06,"PCBA,MAIN BD,SS,N/D,MORISON,TSTD,MG83,84",B?NG M?CH IN ?I?N T?,8473301000
199503400,"SCR,LEVELING,M6 X 70,LONG PATCH",?C VÍT,7318150000
5-6529-06,"SCNR ASSY,ADAPTIVE, MGL8300/8400",MÁY ??C MÃ V?CH,8471901000
5-6529-04,"SCNR,ASSY,SCALE,MGL83/84",MÁY ??C MÃ V?CH,8471901000
5-3171-02,"ASSY, LLT PLTTR, MEDIUM,SS,MGL 8300/8400",C?M L?P RÁP N?P ??Y,8473309000
176602401,"SEALS,ADHESIVE,HORZ.LLT",KEO,3506100000
176602501,"SEALS,ADHESIVE,PLATTER BEZEL,DLC",KEO,3506100000
5-6543,"ASSY,SINGLE 960RD,COLES AU,MGL8400",C?M L?P RÁP MÀN HÌNH HI?N TH?,8473309000
5-2809,"ASSY,RMTE DSPLY HD,CL GRY,MGL81/82,ROHS",C?M L?P RÁP MÀN HÌNH HI?N TH?,8473309000
8-0763-01,"CBL ASY,ROHS,REMOTE DISPLAY,MSL,15'",DÂY CÁP ?I?N,8544119000
820029050,"INSERT,CHINA TBL OF RSTCD ELMNT,SS,83/84",GI?Y CH?NG NH?N ROHS,4901999000
52-0026-01,"ASSY,SCALE,SHEKEL,DC02,MGL83/84",C?M L?P RÁP CÂN,8473309000
010001088,"SCR,TRX SCH CAP,M8X1.25X30,GR12.9,ROHS",?C VÍT,7318150000
010001136,"RESTRCTD,SCRW,SCKT HD CAP,M6-1X30MM,SS,R",?C VÍT,7318150000
199470300,"SCREW.SET.M5-0.8X12MM,FLAT PT,SELF LOCK",?C VÍT,7318150000
820029080,"INSTRUCTIONS,LEVELING FEET,MGL8300/8400",SÁCH H??NG D?N,4901999000
5-3171-03,"ASSY, LLT PLATTER, LONG,SS,MGL 8300/8400",C?M L?P RÁP N?P ??Y,8473309000
8-0863-05,"CBL ASY,ROHS,IBM USB,POT,15'",DÂY CÁP ?I?N,8544119000
50-0014-01,"ASSY,SCANNER,QSCAN I, 2137/BLACK,5V, HD",MÁY ??C MÃ V?CH,8471901000
52-0038-01,"ASSY,PCB, OPTICAL, 5V, HD",C?M L?P RÁP B?NG M?CH IN ?I?N T? VÀ KH?I QUANG,8473309000
019260016,"BOX,12.25X9.25X2.125",H?P ?ÓNG GÓI (CARTON),4819100000
019260038,"BAG,10X12,ANTI-STATIC FILM",TÚI ?ÓNG GÓI (NH?A),3923909000
010001023,"SCR,K22 X 8 TORX, PAN HEAD, PT",?C VÍT,7318150000
199003401,"CABLE,ILLUMINATION,13P",DÂY CÁP ?I?N,8544119000
90G001070,CAB-327 RS232 STR. 9PIN FEM.,DÂY CÁP ?I?N,8544119000
4004-0848,"POWER SUPPLY,DESK TOP,5V,12WATT",B? NGU?N,8504401900
SE-1500ER,"SE-1500ER-I100AR,LASER,SCAN MODULE",??U THU PHÁT TÍN HI?U,8473309000
019260035,"BOX,12 15/16 X 8 11/16 X 6 7/8,TW-23",H?P ?ÓNG GÓI (CARTON),4819100000
072000015,"ADHESIVE,LOCKTITE 29031",KEO,3506100000
3-1036-02,"PCBA,SCAN MODULE,(E3),TSTD,SE1500ER",B?NG M?CH IN ?I?N T?,8473301000
700304200,"ASSY,PACKAGING,LARGE MGL83/84",C?M L?P RÁP MÚT X?P ?ÓNG GÓI,8473309000
5-3484-03,"ASSY,EU,SNGL DSPL/SNGL INTVL,SHKL,M83/84",C?M L?P RÁP MÀN HÌNH HI?N TH?,8473309000
5-3385,"ASSY,REMOTE DISPLAY,SINGLE,MGL8300/8400",C?M L?P RÁP MÀN HÌNH HI?N TH?,8473309000
52-0026-02,"ASSY,SCALE,SHEKEL,DC02,W/O,BBL,MGL83/84",C?M L?P RÁP CÂN,8473309000
700304300,"ASSY,PACKAGING,SMALL,MGL83/84",C?M L?P RÁP MÚT X?P ?ÓNG GÓI,8473309000
5-3140-02,"ASSY,LLT PLATTER,MEDIUM,SO,MGL 8300/8400",C?M L?P RÁP N?P ??Y,8473309000
700004800,"KIT, A96959, C173 PACKAGING",C?M L?P RÁP H?P ?ÓNG GÓI CHÂN ??,8473309000
11-0360,"ACCESSORY,HOLDER,MULTI-PURPOSE,BLACK",PH? KI?N ?? ??,8473309000
010001010,"SCR,4.2X25,PH PAN,18-8,SS,ROHS",?C VÍT,7318150000
R44-2996,"INSTR SHEET,MULTI-PURPOSE HOLDER",SÁCH H??NG D?N,4901999000
298101201,"LENS 2,IMAGER,TIGER",TH?U KÍNH,9002119000
298101101,"LENS 1,IMAGER,TIGER",TH?U KÍNH,9002119000
019260045,"BAG,ANTISTATIC,9""X12"",2MIL,PINK",TÚI ?ÓNG GÓI,3923909000
5-3508-01,"ASSY,BLACK STAND,QUICKSCAN D",C?M L?P RÁP CHÂN ??,8473309000
010001036,"SCR,M6X25,FLAT HD,PHIL,W/LOCK PATCH",?C VÍT,7318150000
820030510,"INSTALL INSTRUCTIONS,BASIC STAND,QS D",SÁCH H??NG D?N,4901999000
142025990,"SCATOLA PER STAND,BOX",H?P ?ÓNG GÓI (CARTON),4819100000
010158004,"SCR,VITE AB M4.2X25PHIL PAN ZINC UNI6954",?C VÍT,7318150000
5-6546,"ASSY,IMAGER BASKET,MGL3200VSI",C?M L?P RÁP KHUNG G??NG,8473309000
5-6547,"ASSY,ILLUMINATION,MGL3200VSI",C?M L?P RÁP TH?U KÍNH,8473309000
3-1075-02,"PCBA,ILLUMINATION BD,TSTD,MGL3200",B?NG M?CH IN ?I?N T?,8473301000
5-6548,"ASSY,IMAGER,MGL3200VSI",C?M L?P RÁP TH?U KÍNH,8473309000
010001029,"SCR,M2X0,4X5MM,PHIL,PAN,NYLON",?C VÍT,7318150000
3-1074-04,"PCBA,MAIN BD,TSTD,MGL3200/3300",B?NG M?CH IN ?I?N T?,8473301000
5-6549,"ASSY,ENCLOSURE,MGL3200VSI",C?M L?P RÁP V? MÁY ??C MÃ V?CH,8473309000
3-1076-02,"PCBA,CONTROL PANEL,TSTD,MGL3200",B?NG M?CH IN ?I?N T?,8473301000
040000007,"LENS,TRIPLET,12MM F/#6,M12X0.5",TH?U KÍNH,9002119000
52-0053-00,"ASSY,IMAGER BASKET,MGL3300",C?M L?P RÁP KHUNG G??NG,8473309000
3-1087-02,"PCBA,ILLUM/CONTROL PANEL,TSTD,MGL3300",B?NG M?CH IN ?I?N T?,8473301000
3-1087-04,"PCBA,BACK ILLUM,TSTD,MGL3300",B?NG M?CH IN ?I?N T?,8473301000
52-0054-00,"ASSY,IMAGER,MGL3300",C?M L?P RÁP TH?U KÍNH,8473309000
ZC0500010,"ADH,HOT MELT,5/8"" X 8""",KEO,3506100000
52-0055-00,"ASSY,ENCLOSURE,MGL3300",C?M L?P RÁP V? MÁY ??C MÃ V?CH,8473309000
3-1074-06,"PCBA,MAIN BD,TSTD,MGL3200/3300",B?NG M?CH IN ?I?N T?,8473301000
199003301,"CABLE,BACK ILLUMINATION,MGL3300",DÂY CÁP ?I?N,8544119000
5-3508-02,"ASSY,WHITE STAND,QUICKSCAN D",C?M L?P RÁP CHÂN ??,8473309000
8-0730-54,"CABLE,ROHS,RS,DB9,S,E/P,4.6M",DÂY CÁP ?I?N,8544119000
8-0730-55,"CABLE,ROHS,RS,DB9P,E/P,BEETLE,15'",DÂY CÁP ?I?N,8544119000
8-0936,"PWR ADAPTER,12V,MGL,ROHS",B? NGU?N,8504401900
8-0938-01,"CABLE,ROHS,USB-A,E/P,STRT,BLK,4.6M",DÂY CÁP ?I?N,8544119000
8-0938-02,"CABLE,ROHS,USB,SURE POS,POT,4.6M",DÂY CÁP ?I?N,8544119000
820031160,"INSERT,CH TBL OF RSTD ELMNT,BF,MGL32/33",GI?Y CH?NG NH?N,4901999000
52-0063-00,"ASSY,LLT TOP,MGL3300",C?M L?P RÁP N?P ??Y,8473309000
