CODE,CODE_EN_DES,CODE_VI_DES,HSCODE,Manual
004007003,"CONN FLAT CABLE 6P F PCB 90° P.0,5 SMD",??U N?I,85366939,??U N?I
034000714,"RES,0R 1/8W 0603 HIGH POWER JUMPER",?I?N TR?,85332100,?I?N TR?
062000058,"DIODE,SFH206K,PHOTO,IR,DETC,ROHS",?I?T,85411000,?I?T
129000790,"BU -  7 BUSTA POLIETILENE 10 X 10,5 CM",MI?NG ??M (NH?A),39269059,MI?NG ??M (NH?A)
142508591,CO -5085 NEUTRAL PACKAGING BOX,H?P ?ÓNG GÓI,48191000,H?P ?ÓNG GÓI
199284600,"SHIELD CAN,DETECTOR",MI?NG CH?NG NHI?U (THÉP),73269099,MI?NG CH?NG NHI?U (THÉP)
199284700,"MOUNT,DETECTOR",CH?T GÀI (NH?A),39269059,CH?T GÀI (NH?A)
296023301,"VF - 233 SCREW M1,4X0,3 L=4 TORX T3",?C VÍT,73181590,?C VÍT
700286604,"LOCKING SYST BASE ASSY HC, CRADLE MIC",KHUNG ?? (NH?A),39269059,KHUNG ?? (NH?A)
ZC0000238,ET.LASERAB.NERA OPACA TESA 1PC=360000CM2,KEO/KAPTON,39209299,KEO/KAPTON
034560027,"RES,27R 5% 0603 1/10W",?I?N TR?,85332100,?I?N TR?
054100113,IC STR91XF 16/32-BIT FLASH MCU LQFP128,M?CH ?I?N T? TÍCH H?P,85423100,M?CH ?I?N T? TÍCH H?P
94A151137,"CHARGER, 4 SLOT BATTERY, FALCONX3/X4",?? MÁY ??C MÃ V?CH,84733090,?? MÁY ??C MÃ V?CH
10044042,SCREW M 4  X 16  UNI 5931 ZCWH,?C VÍT,73181590,?C VÍT
199333800,"SEAL,SPEAKER,MGL2200VS",MI?NG ??M,58061090,MI?NG ??M
731205100,"LABEL,IEC WARNING,MGL2200VS/MGL2300HS",NHÃN (NH?A CU?N),39191099,NHÃN (NH?A CU?N)
