CODE,CODE_EN_DES,CODE_VI_DES,HSCODE,Manual
131139205,"ENCLOSURE,BLACK,BACK,MGL1500I",V? B?O V? (NH?A),39269059,V? B?O V? (NH?A)
131139206,"ENCLOSURE,WHITE,BACK,MGL1500I",V? B?O V? (NH?A),39269059,V? B?O V? (NH?A)
000000897,CONN DF20G-10DP 1V 2X5 PINS,??U N?I,85366939,??U N?I
027000117,"TRANSFORMER FLYBACK POE 12V 7W ER14,5",CU?N C?M,85045020,CU?N C?M
027000325,"IND, 6.8UH,1.1A,20%,3X3X1.5",CU?N C?M,85045020,CU?N C?M
034000591,RES 0.120 OHM 1% 1206 1/4 W,?I?N TR?,85332100,?I?N TR?
053100080,IC LM431 SOT23-3 ADJ ZENER SHUNT REGUL.,M?CH ?I?N T? TÍCH H?P,85423100,M?CH ?I?N T? TÍCH H?P
053110015,IC LMV761 SOT23 PRECISION COMPARATOR,M?CH ?I?N T? TÍCH H?P,85423100,M?CH ?I?N T? TÍCH H?P
054100199,IC 2XARM CORTEX-A9 600MHZ + FPGA 25KLE,M?CH ?I?N T? TÍCH H?P,85423100,M?CH ?I?N T? TÍCH H?P
054110094,IC M24C64-WDW6 TSSOP8 64K EEPROM,M?CH ?I?N T? TÍCH H?P,85423100,M?CH ?I?N T? TÍCH H?P
054120087,PC LM3409MY MSOP10 PFET BUCK LED DRIVER,M?CH ?I?N T? TÍCH H?P,85423100,M?CH ?I?N T? TÍCH H?P
054120538,IC LV8549MC STEPPER MTR DRIVER SOIC10,M?CH ?I?N T? TÍCH H?P,85423100,M?CH ?I?N T? TÍCH H?P
054120598,"IC, IIS2DH,3 AXIS ACCELEROMETER, SMT",M?CH ?I?N T? TÍCH H?P,85423100,M?CH ?I?N T? TÍCH H?P
054120687,IC MIC23451 2A 3MHZ TRIPLE SYNC BUCK REG,M?CH ?I?N T? TÍCH H?P,85423100,M?CH ?I?N T? TÍCH H?P
054120688,IC X3160 SSOP20 RS232/485 -40+85 IEC-ESD,M?CH ?I?N T? TÍCH H?P,85423100,M?CH ?I?N T? TÍCH H?P
054130121,IC 74LVC1G86DBVR SOT23 SINGLE XOR 4.5NS,M?CH ?I?N T? TÍCH H?P,85423100,M?CH ?I?N T? TÍCH H?P
054150066,IC PCA9532BS HVQFN24 16BIT I2C LED DIM.,M?CH ?I?N T? TÍCH H?P,85423100,M?CH ?I?N T? TÍCH H?P
060000108,TRANSIL 33V 1500W BID. SMD SMPC H=1.2MM,TRANSISTOR,85412900,TRANSISTOR
060100181,"DIODE 1SS400 SMD 80V 0,1A HIGH SPEED",?I?T,85411000,?I?T
061100009,TRANSIL ARRAY LCDA24.TE SMD SO8,TRANSISTOR,85412900,TRANSISTOR
065000122,"BJT,BC56PA,80V,1A,NPN,SOT1061",TRANSISTOR,85412900,TRANSISTOR
067000042,OPTICAL SENSOR W/ TRANS OUT TCPT1300X01,TRANSISTOR,85412900,TRANSISTOR
068000121,"LED ORANGE (605NM) 12°SMD 3,2X3,6X3,4MM",?I?T PHÁT SÁNG,85414010,?I?T PHÁT SÁNG
068000217,"LED,COOLWHITE,SMD, HIGH DENSITY",?I?T PHÁT SÁNG,85414010,?I?T PHÁT SÁNG
068000228,"LED,AMBER,SMD,REVERSE MOUNT,LA P47F",?I?T PHÁT SÁNG,85414010,?I?T PHÁT SÁNG
068000229,"LED,AMBER,SMD,136LM/W,GA CS8PM1.23",?I?T PHÁT SÁNG,85414010,?I?T PHÁT SÁNG
068080002,LED BICOLOR RED/BLU 060,?I?T PHÁT SÁNG,85414010,?I?T PHÁT SÁNG
084000247,"CAP,CER,X7R,33NF, 10%, 25V, 0402",T? ?I?N,85322400,T? ?I?N
084000331,COND CER COG 1 NF 50V 0402 5%,T? ?I?N,85322400,T? ?I?N
087100005,CAP X7R  2.2  UF 100V 1210 10%,T? ?I?N,85322400,T? ?I?N
100419404,FE4194 M220 ILLUMINATOR PCB CS2244,M?CH IN,85340030,M?CH IN
100445501,FE4455 PCB CS-2359,M?CH IN,85340030,M?CH IN
632016001,$ FLASH MOTHER BOARD M220 V 1.6.0 REV B,M?CH ?I?N T? TÍCH H?P,85423100,M?CH ?I?N T? TÍCH H?P
740318600,ASSY MODULE FIREFLY DE2102-DL Q10,PH? KI?N B? ?I?U KHI?N MÁY ??C MÃ V?CH,84733090,PH? KI?N
700323801,"LENS/HOUSING ASM,TORQ-FIT PAIRS M5X0.35",C?M L?P RÁP TH?U KÍNH,84733090,C?M L?P RÁP
710036200,"RECEIVING LENS ASSY, FIREFLY",C?M L?P RÁP TH?U KÍNH,84733090,C?M L?P RÁP
60000106,DIODE SCHOTTKY 40V 3A SS36FA,?I?T,85411000,?I?T
100431002,FE4310 M220 PCB CS-2292,M?CH IN,85340030,M?CH IN
